,0
scenario,solar_gas
objective_total_cost_per_year_$,17362837389.867085
objective_total_cost_billion_$,17.362837389867085
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,77.16795630360701
solar_capacity_mw,-0.0
solar_capacity_gw,-0.0
solar_generation_mwh,0.0
solar_generation_twh,0.0
solar_capacity_factor,0
solar_curtailment_mwh,0.0
battery_power_mw,0
battery_power_gw,0.0
battery_energy_mwh,0
battery_energy_gwh,0.0
battery_throughput_mwh,0
gas_capacity_mw,50511.243761185
gas_capacity_gw,50.511243761185
gas_generation_mwh,225000611.93217722
gas_generation_twh,225.0006119321772
gas_capacity_factor,0.5085006713269282
operational_emissions_tco2,81000220.29558386
solar_lifecycle_emissions_tco2e,0.0
battery_lifecycle_emissions_tco2e,0.0
gas_lifecycle_emissions_tco2e,109350297.39903814
total_lifecycle_emissions_tco2e,109350297.39903814
total_emissions_with_lca_tco2e,190350517.69462198
lifecycle_carbon_cost_usd,3280508921.971144
total_carbon_cost_with_lca_usd,5710515530.838659
load_shedding_mwh,0.0
