,0
scenario,solar_gas_co2cap
objective_total_cost_per_year_$,96767430244.97891
objective_total_cost_billion_$,96.76743024497891
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,430.07629807757104
solar_capacity_mw,105504.86207043103
solar_capacity_gw,105.50486207043103
solar_generation_mwh,107585694.17157698
solar_generation_twh,107.58569417157698
solar_capacity_factor,0.1164066915626693
solar_curtailment_mwh,171179400.86398047
battery_power_mw,0
battery_power_gw,0.0
battery_energy_mwh,0
battery_energy_gwh,0.0
battery_throughput_mwh,0
gas_capacity_mw,50511.243761185
gas_capacity_gw,50.511243761185
gas_generation_mwh,69444444.44444457
gas_generation_twh,69.44444444444457
gas_capacity_factor,0.1569442248031309
operational_emissions_tco2,25000000.000000052
solar_lifecycle_emissions_tco2e,4626184.849377809
battery_lifecycle_emissions_tco2e,0.0
gas_lifecycle_emissions_tco2e,33750000.00000006
total_lifecycle_emissions_tco2e,38376184.84937787
total_emissions_with_lca_tco2e,63376184.84937792
lifecycle_carbon_cost_usd,1151285545.481336
total_carbon_cost_with_lca_usd,1901285545.4813378
load_shedding_mwh,47970473.31615568
