scc_per_tco2,gas_marginal_cost_per_mwh,solar_capacity_gw,gas_capacity_gw,solar_capacity_factor_pct,gas_capacity_factor_pct,solar_generation_twh,gas_generation_twh,operational_emissions_mtco2,objective_total_cost_billion_usd,avg_system_cost_per_mwh,load_shedding_mwh,load_shedding_pct
0,31.7,0.661,42.114,30.16,60.51,1.746,223.251,80.37,13.796,61.31,4230.871,0.00188
15,37.1,4.715,41.164,30.16,58.94,12.458,212.54,76.514,14.967,66.52,3203.954,0.00142
30,42.5,5.206,41.073,30.16,58.71,13.755,211.243,76.047,16.112,71.61,3252.308,0.00145
51,50.06,24.729,40.195,30.16,45.35,65.332,159.665,57.48,17.598,78.21,3419.183,0.00152
75,58.7,29.17,40.135,29.89,42.27,76.381,148.616,53.502,18.913,84.06,3451.719,0.00153
100,67.7,31.147,40.108,29.51,41.12,80.524,144.473,52.01,20.229,89.91,3466.197,0.00154
130,78.5,32.764,40.086,29.07,40.31,83.445,141.552,50.959,21.773,96.77,3478.045,0.00155
150,85.7,33.611,40.074,28.8,39.94,84.803,140.194,50.47,22.787,101.27,3484.249,0.00155
190,100.1,35.075,40.054,28.28,39.36,86.884,138.113,49.721,24.79,110.18,3494.969,0.00155
200,103.7,35.416,40.05,28.15,39.24,87.324,137.673,49.562,25.286,112.38,3497.467,0.00155
