hour,load_shedding_mwh,load_shedding_hours,avg_solar_cf,avg_demand_mw,avg_gas_mw,avg_solar_mw
0,2859869.870617845,365,9.210395602265156e-05,23783.309357161717,15873.654411947797,74.39502571297577
1,2520228.564441462,364,7.71105206640281e-05,22859.64365420114,15873.654411947797,62.28439488669175
2,2276447.0529005937,364,6.923864533828246e-05,22183.555885810427,15873.654411947797,55.92605380605283
3,2136482.453088578,365,6.713913073343168e-05,21781.26121096711,15873.654411947797,54.23021521499134
4,2112640.729334639,365,6.728685159313148e-05,21716.06073826574,15873.654411947797,54.34953362030509
5,2297337.6572473575,365,0.00031328428895275353,22420.778954668483,15873.654411947797,253.04876944025597
6,1106200.4029410135,178,0.0022243385586735794,23884.925921352966,15873.654411947797,1796.6625041185769
7,4171.035996754923,1,0.0039321710128517,23220.818517,15873.654411947797,3176.1281082972805
16,12311.889978544505,2,0.0038840298398246497,25166.8424935,15873.654411947797,3137.2430922799517
17,914231.1220641047,98,0.0017985542242916273,26655.28761101019,15873.654411947797,1452.7441984082627
18,1476236.5972267399,148,0.0008447865087302919,26530.584479689172,15873.654411947795,682.3584648579982
19,2395742.176402384,236,0.0019509414357244648,27600.936062762787,15873.654411947797,1575.8317508048883
20,4315005.914667627,364,0.0007352479680933249,28321.947286982326,15873.654411947797,593.8810215520359
21,4225673.308178722,365,0.0002112197263903603,27621.44983175478,15873.654411947797,170.6082741118527
22,3726779.911631986,365,0.00012423324300729873,26184.357113095877,15873.654411947797,100.34677886866602
23,3173324.2263806337,365,8.678600507346908e-05,24637.792951454783,15873.654411947797,70.09956312168951
