month,load_shedding_mwh,load_shedding_hours,avg_solar_cf,avg_demand_mw,peak_load_shedding_mw
1,3229025.798379707,434,0.0002995933903349596,23555.796256281094,12259.971006052203
2,2431881.19113508,360,0.00033561886226788273,22899.968992322207,12653.613463052103
3,2266760.439363499,370,0.0002967369860877653,22239.71701274053,11476.351788052203
4,1951208.4853046048,318,0.000574714773541368,22473.74387519181,11730.171877052204
5,2385819.846224504,310,0.0004993761525151978,23973.20800720967,18606.817390259817
6,2731816.2803525254,299,0.0008847671371852688,25724.81568409186,17679.02868122067
7,3363996.9038442867,310,0.00025986294611802396,26935.156135325473,20682.141461052204
8,4044779.4946501465,325,0.0008119712432776309,28974.982407181218,24686.119008341764
9,4023316.5113216066,356,0.000751694666654714,27782.270781491563,23457.785068052202
10,2948984.993789365,391,0.00026326696115963675,23628.46385040894,14728.519527761979
11,2793341.4648862993,401,0.00022631393540350158,23022.39352985535,13736.249236052203
12,3381751.50384736,436,0.00016720445215220883,23765.021066311914,13090.045507052202
