demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
21768.585137,-0.0,15873.654411947795,5894.930725052203,0.0,2025-01-01 00:00:00,1,1,0,2025-01-01,night_00_05,15873.654411947795,0.2707999021503978
21111.893379,-0.0,15873.654411947797,5238.238967052204,0.0,2025-01-01 01:00:00,1,1,1,2025-01-01,night_00_05,15873.654411947797,0.24811791500721958
20358.821469,-0.0,15873.654411947797,4485.167057052202,0.0,2025-01-01 02:00:00,1,1,2,2025-01-01,night_00_05,15873.654411947797,0.22030582977908042
19926.846964,-0.0,15873.654411947797,4053.1925520522036,0.0,2025-01-01 03:00:00,1,1,3,2025-01-01,night_00_05,15873.654411947797,0.2034036071725112
19916.727203,-0.0,15873.654411947797,4043.072791052202,0.0,2025-01-01 04:00:00,1,1,4,2025-01-01,night_00_05,15873.654411947797,0.20299885366925172
20239.135753,-0.0,15873.654411947797,4365.481341052202,0.0,2025-01-01 05:00:00,1,1,5,2025-01-01,night_00_05,15873.654411947797,0.2156950471763656
20807.518556,65.32682690915185,15873.654411947797,4868.53731714305,8.087717068549179e-05,2025-01-01 06:00:00,1,1,6,2025-01-01,morning_06_09,15938.981238856948,0.23397971766985026
24706.531283,917.6863780094726,15873.654411947797,7915.190493042731,0.001136131683439,2025-01-01 17:00:00,1,1,17,2025-01-01,evening_peak_16_20,16791.34078995727,0.32036834318741425
24870.967744,-0.0,15873.654411947797,8997.313332052205,0.0,2025-01-01 18:00:00,1,1,18,2025-01-01,evening_peak_16_20,15873.654411947797,0.36175967998763386
24637.428755,-0.0,15873.654411947797,8763.774343052204,0.0,2025-01-01 19:00:00,1,1,19,2025-01-01,evening_peak_16_20,15873.654411947797,0.3557097792225439
24184.064674,-0.0,15873.654411947797,8310.410262052204,0.0,2025-01-01 20:00:00,1,1,20,2025-01-01,evening_peak_16_20,15873.654411947797,0.3436316588661222
23817.6550599999,-0.0,15873.654411947797,7944.000648052102,0.0,2025-01-01 21:00:00,1,1,21,2025-01-01,late_evening_21_23,15873.654411947797,0.3335341211399732
22709.552699,-0.0,15873.654411947797,6835.898287052203,0.0,2025-01-01 22:00:00,1,1,22,2025-01-01,late_evening_21_23,15873.654411947797,0.3010142197716302
21489.901479,-0.0,15873.654411947797,5616.247067052203,0.0,2025-01-01 23:00:00,1,1,23,2025-01-01,late_evening_21_23,15873.654411947797,0.2613435465276757
