,0
scenario,solar_bess
objective_total_cost_per_year_$,100462218603.01021
objective_total_cost_billion_$,100.46221860301021
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,446.49753500800676
solar_capacity_mw,316201.731142397
solar_capacity_gw,316.20173114239697
solar_generation_mwh,237111585.1147743
solar_generation_twh,237.1115851147743
solar_capacity_factor,0.08560210106869777
solar_available_mwh,835468659.0033648
solar_curtailment_mwh,598357073.8885906
battery_power_mw,202219.15135381915
battery_power_gw,202.21915135381914
battery_energy_mwh,808876.6054152766
battery_energy_gwh,808.8766054152766
battery_throughput_mwh,230108490.46934372
gas_capacity_mw,0
gas_capacity_gw,0.0
gas_generation_mwh,0
gas_generation_twh,0.0
gas_capacity_factor,0
operational_emissions_tco2,0.0
solar_lifecycle_emissions_tco2e,10195798.159935296
battery_lifecycle_emissions_tco2e,7593580.185488343
gas_lifecycle_emissions_tco2e,0.0
total_lifecycle_emissions_tco2e,17789378.34542364
total_emissions_with_lca_tco2e,17789378.34542364
lifecycle_carbon_cost_usd,533681350.36270916
total_carbon_cost_with_lca_usd,533681350.36270916
gas_unserved_residual_load_mwh,0
load_shedding_mwh,0
load_shedding_pct_of_load,0.0
