,0
scenario,solar_bess_8h
objective_total_cost_per_year_$,85376122160.21544
objective_total_cost_billion_$,85.37612216021544
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,379.44839983791115
solar_capacity_mw,327265.98068251007
solar_capacity_gw,327.2659806825101
solar_generation_mwh,244205889.22932786
solar_generation_twh,244.20588922932785
solar_capacity_factor,0.08518265344012249
solar_available_mwh,864702634.7085588
solar_curtailment_mwh,620496745.4792309
battery_power_mw,97957.05798149064
battery_power_gw,97.95705798149064
battery_energy_mwh,783656.4638519251
battery_energy_gwh,783.6564638519251
battery_throughput_mwh,236865086.66485858
gas_capacity_mw,0
gas_capacity_gw,0.0
gas_generation_mwh,0
gas_generation_twh,0.0
gas_capacity_factor,0
operational_emissions_tco2,0.0
solar_lifecycle_emissions_tco2e,10500853.236861097
battery_lifecycle_emissions_tco2e,7816547.859940333
gas_lifecycle_emissions_tco2e,0.0
total_lifecycle_emissions_tco2e,18317401.09680143
total_emissions_with_lca_tco2e,18317401.09680143
lifecycle_carbon_cost_usd,549522032.904043
total_carbon_cost_with_lca_usd,549522032.904043
gas_unserved_residual_load_mwh,0
load_shedding_mwh,0
load_shedding_pct_of_load,0.0
