,0
scenario,solar_bess_capped_2x
objective_total_cost_per_year_$,3019757184493.756
objective_total_cost_billion_$,3019.757184493756
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,13421.10654083027
solar_capacity_mw,50000.0
solar_capacity_gw,50.0
solar_generation_mwh,127876563.57306457
solar_generation_twh,127.87656357306457
solar_capacity_factor,0.2919556245960378
solar_available_mwh,132110070.36313853
solar_curtailment_mwh,4233506.790073961
battery_power_mw,34000.0
battery_power_gw,34.0
battery_energy_mwh,136000.0
battery_energy_gwh,136.0
battery_throughput_mwh,56725308.94231866
gas_capacity_mw,0
gas_capacity_gw,0.0
gas_generation_mwh,0
gas_generation_twh,0.0
gas_capacity_factor,0
operational_emissions_tco2,0.0
solar_lifecycle_emissions_tco2e,5498692.233641776
battery_lifecycle_emissions_tco2e,1871935.1950965158
gas_lifecycle_emissions_tco2e,0.0
total_lifecycle_emissions_tco2e,7370627.428738292
total_emissions_with_lca_tco2e,7370627.428738292
lifecycle_carbon_cost_usd,221118822.86214876
total_carbon_cost_with_lca_usd,221118822.86214876
gas_unserved_residual_load_mwh,0
bess_unserved_load_mwh,100109590.93502417
load_shedding_mwh,100109590.93502417
load_shedding_pct_of_load,44.49303051904615
