,0
scenario,solar_gas
objective_total_cost_per_year_$,16111890927.347483
objective_total_cost_billion_$,16.11189092734748
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,71.60820936880009
solar_capacity_mw,5205.820297514558
solar_capacity_gw,5.205820297514558
solar_generation_mwh,13754825.716050053
solar_generation_twh,13.754825716050053
solar_capacity_factor,0.30162116521264487
solar_available_mwh,13754825.716050059
solar_curtailment_mwh,5.587935447692871e-09
battery_power_mw,0
battery_power_gw,0.0
battery_energy_mwh,0
battery_energy_gwh,0.0
battery_throughput_mwh,0
gas_capacity_mw,41072.838275153226
gas_capacity_gw,41.072838275153224
gas_generation_mwh,211242533.90851605
gas_generation_twh,211.24253390851604
gas_capacity_factor,0.5871141494668135
operational_emissions_tco2,76047312.20706579
solar_lifecycle_emissions_tco2e,591457.5057901524
battery_lifecycle_emissions_tco2e,0.0
gas_lifecycle_emissions_tco2e,102663871.4795388
total_lifecycle_emissions_tco2e,103255328.98532896
total_emissions_with_lca_tco2e,179302641.19239473
lifecycle_carbon_cost_usd,3097659869.559869
total_carbon_cost_with_lca_usd,5379079235.771842
gas_unserved_residual_load_mwh,3252.3076111085857
load_shedding_mwh,3252.3076111085857
load_shedding_pct_of_load,0.0014454661181494662
