,0
scenario,solar_gas_rps
objective_total_cost_per_year_$,3146113043589.517
objective_total_cost_billion_$,3146.113043589517
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,13982.686609482924
solar_capacity_mw,23534057.895103388
solar_capacity_gw,23534.057895103386
solar_generation_mwh,135000367.1593064
solar_generation_twh,135.00036715930642
solar_capacity_factor,0.0006548382300223248
solar_available_mwh,62181720889.045685
solar_curtailment_mwh,62046720521.886375
battery_power_mw,0
battery_power_gw,0.0
battery_energy_mwh,0
battery_energy_gwh,0.0
battery_throughput_mwh,0
gas_capacity_mw,38102.842359
gas_capacity_gw,38.102842359
gas_generation_mwh,89995012.33142184
gas_generation_twh,89.99501233142183
gas_capacity_factor,0.2696230149285429
operational_emissions_tco2,32398204.43931187
solar_lifecycle_emissions_tco2e,5805015.787850176
battery_lifecycle_emissions_tco2e,0.0
gas_lifecycle_emissions_tco2e,43737575.99307101
total_lifecycle_emissions_tco2e,49542591.78092119
total_emissions_with_lca_tco2e,81940796.22023305
lifecycle_carbon_cost_usd,1486277753.4276357
total_carbon_cost_with_lca_usd,2458223886.606992
gas_unserved_residual_load_mwh,5232.441448999991
load_shedding_mwh,5232.441448999991
load_shedding_pct_of_load,0.0023255232081667524
